,R_ABS,G_ABS
393598,-20.13215025444705,-19.363287679925794
393619,-22.55835210924456,-21.718403673520882
393676,-20.29073508817525,-19.60225938387517
394414,-21.932494793952493,-21.14035850676991
396255,-20.72398266427581,-20.3187790159805
397002,-20.6618472080035,-19.95111932417482
397259,-20.140891990755946,-19.722462623988292
397272,-21.492405413245603,-20.72453579864862
397302,-21.749989777058857,-20.960652271597684
397567,-21.144964161598228,-20.44734758411792
397762,-21.666344203726883,-20.87901325157729
397787,-21.38122181102022,-20.737029613520043
398103,-21.199996432022928,-20.441844719271785
399029,-21.066370838225378,-20.310624007902703
399567,-22.369252245135474,-21.607403759590703
399874,-22.366609731520796,-21.58166949864517
400142,-21.148032357037028,-20.48571333792641
400151,-21.94010486656999,-21.16828752208499
400677,-22.501531760620946,-21.80350308832365
401019,-21.29541206385284,-20.602162757482574
401142,-21.78436328844763,-21.041513986590015
402636,-21.05117429409036,-20.451680532445945
403110,-23.113120518530792,-22.338596343459734
404333,-20.976700573396627,-20.307674628137754
405192,-20.592245696751785,-19.74606347921089
406663,-20.080038931969746,-19.343935261791813
406680,-21.403225977084215,-20.63642223480328
410119,-21.534675026159192,-20.67231919811693
410332,-22.098421764246485,-21.263271248348726
410679,-21.810092128429467,-21.197739070610616
412908,-21.00237605265815,-20.222283282123062
413395,-21.845212563228046,-21.099332934862232
414635,-20.24645470758088,-19.37375153775061
419815,-20.210058226344607,-19.726024758341783
420422,-21.440500496678723,-20.694844370236382
421112,-21.332567551046964,-20.80272952865109
421442,-21.201115024107295,-20.74148989911251
422197,-21.96211691976888,-21.387019986134447
422268,-20.329515491633646,-19.799261572025735
422801,-20.92687010260354,-20.301101162172763
424340,-20.737093588954153,-20.13928749736663
426299,-22.15594623654146,-21.473549438406188
426866,-21.560501204828572,-21.007283511529153
428489,-20.208879963206368,-19.76490896457819
428801,-20.1618522684169,-19.586565071151117
428934,-20.47881702899626,-19.72905499448673
430461,-21.967113883628116,-21.427043263151845
432623,-22.051428769653,-21.243620606144194
433148,-21.24340497914366,-20.448158640540534
434351,-20.990195953720452,-20.261673488802707
434888,-21.722110974708066,-20.974106288300447
436956,-20.322900457698854,-19.919114026389998
440913,-21.66682605987395,-20.865639274083193
441357,-20.1553769182743,-19.443227989281006
452160,-21.086719451359855,-20.377592563442626
452432,-21.40239987468704,-20.782095250287497
453226,-22.199751262389277,-21.38327737784528
454657,-21.33912500476934,-20.588611094965554
456508,-22.663669939948946,-21.818756472759237
456680,-21.994705045373827,-21.272189102311287
457629,-21.47777194596884,-20.698294640423494
459811,-20.107163719511927,-19.644773546605936
466474,-20.926516400459573,-20.524471203499516
520314,-20.737778155318253,-19.94459243175706
525679,-21.219745750325583,-20.71339883217392
526968,-21.812493619655935,-21.036150000136224
528215,-21.025295255168356,-20.6017641985769
528980,-21.380975481338808,-20.634265043774068
529170,-20.9225898388435,-20.342512931100625
531427,-20.20579154603397,-19.628267873481235
532500,-21.150789343337056,-20.7378121718732
532540,-22.181671859622135,-21.438232136346127
532744,-20.684268121514386,-20.268383600317915
534667,-21.58118261151753,-20.937209600400283
536986,-20.446751407085934,-19.62098081335962
538478,-22.210294661238805,-21.46105767090562
561970,-22.397544719560592,-21.60241596759732
562839,-20.657494680982012,-20.095207686699958
565258,-20.39278088798059,-19.942763346644576
572034,-20.086275009387286,-19.432017643262842
573549,-20.331117956318575,-19.617145673895127
574257,-20.68413922662013,-20.26023096672501
574835,-22.276199768809416,-21.497030900978476
575324,-21.901790974170297,-21.20017319549503
575334,-22.315268956105154,-21.528840077115976
575516,-21.526324509031387,-20.718630339076476
575618,-20.435231633245508,-19.691721573114403
